Alpha,Epocas_perc,Exact_test_perc,Epocas_ada,Exact_test_ada
0.001,500,98.9051094890511,500,97.4452554744526
0.01,500,98.9051094890511,154,97.8102189781022
0.05,500,98.9051094890511,46,97.4452554744526
0.1,500,97.4452554744526,26,97.4452554744526
