Escalado,Particion,Alpha,Epocas,Convergio,Exact_train,Exact_test
0,60-40,0.01,200,0,98.6634264884569,98.9071038251366
0,60-40,0.05,200,0,98.906439854192,99.2714025500911
0,60-40,0.1,200,0,98.906439854192,99.2714025500911
0,60-40,0.5,200,0,99.0279465370595,99.0892531876138
0,60-40,1,200,0,98.7849331713244,99.2714025500911
0,70-30,0.01,200,0,98.9583333333333,99.0291262135922
0,70-30,0.05,200,0,98.0208333333333,98.0582524271845
0,70-30,0.1,200,0,99.1666666666667,99.0291262135922
0,70-30,0.5,200,0,99.0625,98.7864077669903
0,70-30,1,200,0,97.7083333333333,98.0582524271845
0,80-20,0.01,200,0,98.7249544626594,98.9051094890511
0,80-20,0.05,200,0,98.7249544626594,97.4452554744526
0,80-20,0.1,200,0,98.6338797814208,98.9051094890511
0,80-20,0.5,200,0,98.816029143898,97.8102189781022
0,80-20,1,200,0,98.6338797814208,98.9051094890511
0,90-10,0.01,200,0,98.7044534412955,98.5401459854015
0,90-10,0.05,200,0,98.7044534412955,98.5401459854015
0,90-10,0.1,200,0,98.7044534412955,98.5401459854015
0,90-10,0.5,200,0,98.8663967611336,98.5401459854015
0,90-10,1,200,0,98.9473684210526,97.8102189781022
1,60-40,0.01,200,0,98.4204131227218,97.632058287796
1,60-40,0.05,200,0,98.4204131227218,97.632058287796
1,60-40,0.1,200,0,99.0279465370595,98.5428051001822
1,60-40,0.5,200,0,98.2989064398542,97.2677595628415
1,60-40,1,200,0,98.906439854192,99.2714025500911
1,70-30,0.01,200,0,98.6458333333333,98.7864077669903
1,70-30,0.05,200,0,98.75,99.0291262135922
1,70-30,0.1,200,0,98.9583333333333,97.5728155339806
1,70-30,0.5,200,0,99.0625,98.0582524271845
1,70-30,1,200,0,98.9583333333333,98.7864077669903
1,80-20,0.01,200,0,98.816029143898,98.5401459854015
1,80-20,0.05,200,0,98.9071038251366,98.1751824817518
1,80-20,0.1,200,0,99.1803278688525,98.9051094890511
1,80-20,0.5,200,0,98.9981785063752,99.2700729927007
1,80-20,1,200,0,98.3606557377049,97.8102189781022
1,90-10,0.01,200,0,97.165991902834,98.5401459854015
1,90-10,0.05,200,0,98.6234817813765,97.0802919708029
1,90-10,0.1,200,0,98.7854251012146,97.0802919708029
1,90-10,0.5,200,0,98.8663967611336,97.0802919708029
1,90-10,1,200,0,98.8663967611336,98.5401459854015
