Paso,Filas,Epocas_perceptron,Exact_perceptron,Epocas_adaline,EC_final_adaline,Exact_adaline
T0_crudo,1372,200,99.0291262135922,6,46.7719531610474,97.3300970873786
T1_outliers,1372,200,98.7864077669903,6,32.0890358708339,97.3300970873786
T2_balanceado,1220,43,98.9071038251366,6,29.3653068312106,95.9016393442623
T3_estandarizado,1220,23,99.1803278688525,7,13.3727258414022,97.5409836065574
T4_normalizado,1220,42,98.9071038251366,161,13.0675023937944,97.2677595628415
